"Word","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions","ExampleSentence","JmDictWordId"
"の","の","の","98","1","2","indicates possessive,nominalizes verbs and adjectives,substitutes for ""ga"" in subordinate phrases,indicates a confident conclusion,indicates emotional emphasis,indicates question","","1469800"
"は","は","は","61","2","1","indicates sentence topic,indicates contrast with another option (stated or unstated),adds emphasis","","2028920"
"が","が","が","41","5","0","indicates the subject of a sentence,indicates possession,but,however,(and) yet,though,although,while,and,used after an introductory remark or explanation,regardless of ...,whether ... (or not),no matter ...,indicates a desire or hope,softens a statement,indicates doubt,indicates scorn","","2028930"
"に","に","に","40","3","1","at (place, time),in,on,during,to (direction, state),toward,into,for (purpose),because of (reason),for,with,by,from,as (i.e. in the role of),per,in,for,a (e.g. ""once a month""),and,in addition to,if,although","","2028990"
"を","を","を","34","4","","indicates direct object of action,indicates subject of causative expression,indicates an area traversed,indicates time (period) over which action takes place,indicates point of departure or separation of action,indicates object of desire, like, hate, etc.","","2029010"
"も","も","も","30","8","1,0","too,also,in addition,as well,(not) either (in a negative sentence),both A and B,A as well as B,neither A nor B (in a negative sentence),even,as much as,as many as,as far as,as long as,no less than,no fewer than,even if,even though,although,in spite of,further,more,again,another,the other","","2028940"
"で","で","で","28","7","1","at,in,at,when,by,with,so,therefore,(and) then,accordingly,by the way,incidentally,now then,well","","2028980"
"私","私[わたし]","わたし","28","29","0","I,me","","1311110"
"です","です","です","27","15","1","be,is","","1628500"
"だ","だ","だ","20","9","","be,is","","2089020"
"と","と","と","20","6","1","if,when,and,with,used for quoting (thoughts, speech, etc.),promoted pawn,indicates a question","","1008490"
"って","って","って","19","22","","you said,he said,she said,they said,even if,do you seriously think that,I already told you,you should know by now that,of course,the said ...,said ...,says that ...,I hear that ...,as for the term ...,as for ...","","2086960"
"よ","よ","よ","19","13","","hey,you,hey,hey,hold on,yo,hey","","2029090"
"から","から","から","18","10","1","from (e.g. time, place, numerical quantity),since,from (originator),by,because,since,out of (constituent, part),through (e.g. window, vestibule),after,since,expresses sympathy or warning","","1002980"
"魔法","魔[ま]法[ほう]","まほう","17","2039","0","magic,witchcraft,sorcery,spell","","1524230"
"な","な","な","13","14","1","don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?,indicates na-adjective","","2029110"
"子ども","子[こ]ども","こども","13","3404","0","child,children","","1307850"
"あっ","あっ","あっ","12","154","1","ah,oh,hey!","","2394370"
"んだ","んだ","んだ","12","21","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ...","","2849387"
"ね","ね","ね","12","19","1","right?,isn't it?,doesn't it?,don't you?,don't you think?,hey,say,listen,look,come on,you know,you see,I must say,I should think,will you?,please,so, ...,well, ...,you see, ...,you understand?,I'm not sure if ...,I have my doubts about whether ...","","2029080"
"か","か","か","11","11","0","indicates a question,or,whether or not,some- (e.g. something, someone),hmm,huh,very,-al,-ial,-ic,-ical,-ish,-y,in that way","","2028970"
