p_name,h_name,default_flag,num_s,num_p,disc_method,disc_year,disc_facility,controversial_flag,p_mass,orbital_period,eccentricity,p_eqt,s_efft,s_radius,s_mass,s_sgravity,ra,dec,h_dist,h_vmag,p_pubdate
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,0,4914.898486,323.21,0.238,,4874,13.76,2.09,2.45,185.1787793,17.7932516,93.1846,4.72307,2023-08
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,0,6165.6,326.03,0.231,,4742,19,2.7,2.31,185.1787793,17.7932516,93.1846,4.72307,2008-01
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,0,5434.7,,,,,,2.6,,185.1787793,17.7932516,93.1846,4.72307,2011-08
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,3337.07,516.22,0.08,,4340,24.08,1.8,1.6,229.2745954,71.8239428,125.321,5.013,2009-10
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,4684.8142,516.21997,0.08,,4213,29.79,2.78,1.93,229.2745954,71.8239428,125.321,5.013,2017-03
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,3432.4,,,,,,1.7,,229.2745954,71.8239428,125.321,5.013,2011-08
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1017,,,,,,1.2,,352.82415,39.2358367,75.4392,5.23133,2011-08
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1131.151301,186.76,0,,4888,11.55,1.78,2.55,352.82415,39.2358367,75.4392,5.23133,2023-08
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1525.5,185.84,0,,4813,11,2.2,2.63,352.82415,39.2358367,75.4392,5.23133,2008-12
14 Her b,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,2559.472162,1765.0389,0.373,,,,0.91,,242.6021014,43.8163621,17.9323,6.61935,2022-09
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1440.663,,0.357,,,,0.9,,242.6021014,43.8163621,17.9323,6.61935,2006-07
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1554.12,1724,0.37,,,,1,,242.6021014,43.8163621,17.9323,6.61935,2003-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1506.45,1796.4,0.338,,5255,,0.9,4.4,242.6021014,43.8163621,17.9323,6.61935,2004-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1581.138,1766,0.359,,5280,1.00235,0.91,4.39507,242.6021014,43.8163621,17.9323,6.61935,2008-04
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1481.0878,1773.40002,0.37,,5338,0.93,0.9,4.45,242.6021014,43.8163621,17.9323,6.61935,2017-03
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1474.67,1773.4,0.369,,,,,,242.6021014,43.8163621,17.9323,6.61935,2007-01
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1541.467774,1766.41,0.3674,,5314.94,0.995819,0.969205,4.426953,242.6021014,43.8163621,17.9323,6.61935,2021-07
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,0,565.7374,798.5,0.68,,5750,1.13,1.08,4.36,295.4656422,50.5168243,21.1397,6.215,2017-03
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.9544,798.5,0.681,,5674,,0.99,4.355,295.4656422,50.5168243,21.1397,6.215,2006-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.93,799.5,0.689,,5747,1.12827,1.03,4.34608,295.4656422,50.5168243,21.1397,6.215,2007-09
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,476.7,800.8,0.634,,5760,,1,4.35,295.4656422,50.5168243,21.1397,6.215,1997-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,556.8353691,799.45,0.6832,,5711.97,1.159464,0.982996,4.300386,295.4656422,50.5168243,21.1397,6.215,2021-07
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,0,533.93,799.5,0.689,,,,,,295.4656422,50.5168243,21.1397,6.215,2007-01
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,0,1373.018718,578.38,0.06,,4157,25.92,1.22,1.7,243.4620874,-11.8377905,124.953,5.22606,2020-12
18 Del b,18 Del,0,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,3127.3,,,,,,2.1,,314.6078375,10.8391378,76.222,5.51048,2011-08
18 Del b,18 Del,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,2926.246143,982.85,0.024,,4980,8.8,2.1,2.87,314.6078375,10.8391378,76.222,5.51048,2023-08
