"Word","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions","ExampleSentence","JmDictWordId"
"の","の","の","1210","1","2","indicates possessive,nominalizes verbs and adjectives,substitutes for ""ga"" in subordinate phrases,indicates a confident conclusion,indicates emotional emphasis,indicates question","","1469800"
"は","は","は","707","2","1","indicates sentence topic,indicates contrast with another option (stated or unstated),adds emphasis","","2028920"
"に","に","に","603","3","1","at (place, time),in,on,during,to (direction, state),toward,into,for (purpose),because of (reason),for,with,by,from,as (i.e. in the role of),per,in,for,a (e.g. ""once a month""),and,in addition to,if,although","","2028990"
"を","を","を","549","4","","indicates direct object of action,indicates subject of causative expression,indicates an area traversed,indicates time (period) over which action takes place,indicates point of departure or separation of action,indicates object of desire, like, hate, etc.","","2029010"
"が","が","が","533","5","0","indicates the subject of a sentence,indicates possession,but,however,(and) yet,though,although,while,and,used after an introductory remark or explanation,regardless of ...,whether ... (or not),no matter ...,indicates a desire or hope,softens a statement,indicates doubt,indicates scorn","","2028930"
"です","です","です","419","15","1","be,is","","1628500"
"私","私[わたし]","わたし","314","29","0","I,me","","1311110"
"で","で","で","295","7","1","at,in,at,when,by,with,so,therefore,(and) then,accordingly,by the way,incidentally,now then,well","","2028980"
"も","も","も","279","8","1,0","too,also,in addition,as well,(not) either (in a negative sentence),both A and B,A as well as B,neither A nor B (in a negative sentence),even,as much as,as many as,as far as,as long as,no less than,no fewer than,even if,even though,although,in spite of,further,more,again,another,the other","","2028940"
"と","と","と","257","6","1","if,when,and,with,used for quoting (thoughts, speech, etc.),promoted pawn,indicates a question","","1008490"
"よ","よ","よ","227","13","","hey,you,hey,hey,hold on,yo,hey","","2029090"
"から","から","から","218","10","1","from (e.g. time, place, numerical quantity),since,from (originator),by,because,since,out of (constituent, part),through (e.g. window, vestibule),after,since,expresses sympathy or warning","","1002980"
"だ","だ","だ","217","9","","be,is","","2089020"
"ね","ね","ね","190","19","1","right?,isn't it?,doesn't it?,don't you?,don't you think?,hey,say,listen,look,come on,you know,you see,I must say,I should think,will you?,please,so, ...,well, ...,you see, ...,you understand?,I'm not sure if ...,I have my doubts about whether ...","","2029080"
"か","か","か","181","11","0","indicates a question,or,whether or not,some- (e.g. something, someone),hmm,huh,very,-al,-ial,-ic,-ical,-ish,-y,in that way","","2028970"
